NAME	9CRV_alpha1_score
TRN_CHEMBL361105	-8.341
TRN_CHEMBL305068	-9.092
TRN_CHEMBL17574	-6.297
TRN_CHEMBL505768	-8.4
TRN_CHEMBL179737	-9.831
TRN_CHEMBL178738	-7.943
TRN_CHEMBL291335	-7.351
TRN_CHEMBL332893	-9.597
TRN_CHEMBL121277	-8.872
F3_CHEMBL422577	-8.342
TRN_CHEMBL120838	-8.932
TRN_CHEMBL123882	-10.25
F3_CHEMBL287742	-9.072
TRN_CHEMBL361015	-9.535
TRN_CHEMBL122619	-9.535
TRN_CHEMBL360733	-9.469
F3_CHEMBL288670	-8.386
F3_CHEMBL418010	-9.935
TRN_CHEMBL52672	-10.73
F3_CHEMBL17547	-6.647
F3_CHEMBL428687	-9.469
TRN_CHEMBL432542	-6.304
F3_CHEMBL417498	-8.152
TRN_CHEMBL123530	-8.736
F3_CHEMBL28363	-9.55
F3_CHEMBL13794	-6.768
TRN_CHEMBL334246	-8.766
F3_CHEMBL27143	-7.559
F3_CHEMBL14006	-6.925
TRN_CHEMBL522055	-7.214
TRN_CHEMBL50581	-10.98
F3_CHEMBL281992	-8.493
TRN_CHEMBL179474	-8.568
