NAME	9CT0_alpha2_score
TRN_CHEMBL361105	-8.502
TRN_CHEMBL305068	-9.155
TRN_CHEMBL17574	-6.336
TRN_CHEMBL505768	-8.336
TRN_CHEMBL179737	-9.61
TRN_CHEMBL178738	-8.583
TRN_CHEMBL291335	-6.966
TRN_CHEMBL332893	-8.931
TRN_CHEMBL121277	-8.394
F3_CHEMBL422577	-7.182
TRN_CHEMBL120838	-8.627
TRN_CHEMBL123882	-9.297
F3_CHEMBL287742	-8.28
TRN_CHEMBL361015	-9.716
TRN_CHEMBL122619	-8.723
TRN_CHEMBL360733	-9.381
F3_CHEMBL288670	-7.829
F3_CHEMBL418010	-9.834
TRN_CHEMBL52672	-8.801
F3_CHEMBL17547	-6.937
F3_CHEMBL428687	-8.876
TRN_CHEMBL432542	-6.406
F3_CHEMBL417498	-7.038
TRN_CHEMBL123530	-9.334
F3_CHEMBL28363	-9.519
F3_CHEMBL13794	-6.833
TRN_CHEMBL334246	-8.487
F3_CHEMBL27143	-7.397
F3_CHEMBL14006	-6.909
TRN_CHEMBL522055	-7.414
TRN_CHEMBL50581	-9.367
F3_CHEMBL281992	-8.198
TRN_CHEMBL179474	-9.314
